addressing    assembler    opc  bytes  cycles
--------------------------------------------
immediate     ADC #oper     69    2     2
zeropage      ADC oper      65    2     3
zeropage,X    ADC oper,X    75    2     4
absolute      ADC oper      6D    3     4
absolute,X    ADC oper,X    7D    3     4*
absolute,Y    ADC oper,Y    79    3     4*
(indirect,X)  ADC (oper,X)  61    2     6
(indirect),Y  ADC (oper),Y  71    2     5*
zeropage,0    ADC (oper)    72    2     5
immediate     AND #oper     29    2     2
zeropage      AND oper      25    2     3
zeropage,X    AND oper,X    35    2     4
absolute      AND oper      2D    3     4
absolute,X    AND oper,X    3D    3     4*
absolute,Y    AND oper,Y    39    3     4*
(indirect,X)  AND (oper,X)  21    2     6
(indirect),Y  AND (oper),Y  31    2     5*
zeropage,0    AND (oper)    32    2     5
accumulator   ASL A         0A    1     2
zeropage      ASL oper      06    2     5
zeropage,X    ASL oper,X    16    2     6
absolute      ASL oper      0E    3     6
absolute,X    ASL oper,X    1E    3     7
branchext     BBR0 oper     0F    3     5
branchext     BBR1 oper     1F    3     5
branchext     BBR2 oper     2F    3     5
branchext     BBR3 oper     3F    3     5
branchext     BBR4 oper     4F    3     5
branchext     BBR5 oper     5F    3     5
branchext     BBR6 oper     6F    3     5
branchext     BBR7 oper     7F    3     5
branchext     BBS0 oper     8F    3     5
branchext     BBS1 oper     9F    3     5
branchext     BBS2 oper     AF    3     5
branchext     BBS3 oper     BF    3     5
branchext     BBS4 oper     CF    3     5
branchext     BBS5 oper     DF    3     5
branchext     BBS6 oper     EF    3     5
branchext     BBS7 oper     FF    3     5
relative      BCC oper      90    2     2**
relative      BCS oper      B0    2     2**
relative      BEQ oper      F0    2     2**
zeropage      BIT oper      24    2     3
absolute      BIT oper      2C    3     4
immediate     BIT #oper     89    2     2
zeropage,X    BIT oper,X    34    2     4
absolute,X    BIT oper,X    3C    3     4
relative      BMI oper      30    2     2**
relative      BNE oper      D0    2     2**
relative      BPL oper      10    2     2**
relative      BRA oper      80    2     2
implied       BRK           00    1     7
relative      BVC oper      50    2     2**
relative      BVS oper      70    2     2**
implied       CLC           18    1     2
implied       CLD           D8    1     2
implied       CLI           58    1     2
implied       CLV           B8    1     2
immediate     CMP #oper     C9    2     2
zeropage      CMP oper      C5    2     3
zeropage,X    CMP oper,X    D5    2     4
absolute      CMP oper      CD    3     4
absolute,X    CMP oper,X    DD    3     4*
absolute,Y    CMP oper,Y    D9    3     4*
(indirect,X)  CMP (oper,X)  C1    2     6
(indirect),Y  CMP (oper),Y  D1    2     5*
